name,description,accuracy,log_loss,baseline,test_matches,vs_current,run_time
elo_only,"Elo ratings only, no form",0.5012345679012346,1.0091838142763085,0.41358024691358025,810,-0.0006960703321143846,2026-09-23T14:50:52+00:00
logreg_simpler,"Logistic regression, stronger regularisation",0.5049627791563276,1.009580011762159,0.4119106699751861,806,-0.00029987284626398214,2026-09-23T14:50:52+00:00
home_adv_90,Bigger home advantage (90),0.5037220843672456,1.0098262268546454,0.4119106699751861,806,-5.365775377752513e-05,2026-09-23T14:50:52+00:00
current_setup,Your current config.py settings,0.5024813895781638,1.009879884608423,0.4119106699751861,806,0.0,2026-09-23T14:50:52+00:00
home_adv_30,Smaller home advantage (30),0.5012406947890818,1.0099745833823406,0.4119106699751861,806,9.469877391765635e-05,2026-09-23T14:50:52+00:00
elo_k_30,Faster-moving Elo (K=30),0.5062034739454094,1.0111860826023675,0.4119106699751861,806,0.0013061979939446022,2026-09-23T14:50:52+00:00
elo_k_10,Slower-moving Elo (K=10),0.4913151364764268,1.0128903192503353,0.4119106699751861,806,0.0030104346419124184,2026-09-23T14:50:52+00:00
form_window_3,Form over last 3 games,0.5012406947890818,1.0130119730947913,0.4119106699751861,806,0.0031320884863683673,2026-09-23T14:50:52+00:00
random_forest,Random forest instead of logistic regression,0.5037220843672456,1.0145372608152416,0.4119106699751861,806,0.00465737620681872,2026-09-23T14:50:52+00:00
gradient_boosting,Gradient boosting instead of logistic regression,0.49503722084367247,1.0170976947002146,0.4119106699751861,806,0.0072178100917916765,2026-09-23T14:50:52+00:00
form_window_10,Form over last 10 games,0.4913151364764268,1.0274886997631096,0.4119106699751861,806,0.017608815154686708,2026-09-23T14:50:52+00:00
form_only,"Form only, no Elo",0.47146401985111663,1.0512928066469809,0.4119106699751861,806,0.04141292203855795,2026-09-23T14:50:52+00:00
logreg_simpler,"Logistic regression, stronger regularisation",0.5049627791563276,1.009580011762159,0.4119106699751861,806,-0.00029987284626398214,2026-09-23T14:54:36+00:00
elo_only,"Elo ratings only, no form",0.5012406947890818,1.0098126863246222,0.4119106699751861,806,-6.719828380075121e-05,2026-09-23T14:54:36+00:00
home_adv_90,Bigger home advantage (90),0.5037220843672456,1.0098262268546454,0.4119106699751861,806,-5.365775377752513e-05,2026-09-23T14:54:36+00:00
current_setup,Your current config.py settings,0.5024813895781638,1.009879884608423,0.4119106699751861,806,0.0,2026-09-23T14:54:36+00:00
home_adv_30,Smaller home advantage (30),0.5012406947890818,1.0099745833823406,0.4119106699751861,806,9.469877391765635e-05,2026-09-23T14:54:36+00:00
elo_k_30,Faster-moving Elo (K=30),0.5062034739454094,1.0111860826023675,0.4119106699751861,806,0.0013061979939446022,2026-09-23T14:54:36+00:00
elo_k_10,Slower-moving Elo (K=10),0.4913151364764268,1.0128903192503353,0.4119106699751861,806,0.0030104346419124184,2026-09-23T14:54:36+00:00
form_window_3,Form over last 3 games,0.5012406947890818,1.0130119730947913,0.4119106699751861,806,0.0031320884863683673,2026-09-23T14:54:36+00:00
random_forest,Random forest instead of logistic regression,0.5037220843672456,1.0145372608152416,0.4119106699751861,806,0.00465737620681872,2026-09-23T14:54:36+00:00
gradient_boosting,Gradient boosting instead of logistic regression,0.49503722084367247,1.0170976947002146,0.4119106699751861,806,0.0072178100917916765,2026-09-23T14:54:36+00:00
form_window_10,Form over last 10 games,0.4913151364764268,1.0274886997631096,0.4119106699751861,806,0.017608815154686708,2026-09-23T14:54:36+00:00
form_only,"Form only, no Elo",0.47146401985111663,1.0512928066469809,0.4119106699751861,806,0.04141292203855795,2026-09-23T14:54:36+00:00
